Psub;Pins;Pomi
0.817;0.100;0.100
#Une ligne par symbole de reference; une colonne par symbole de test
	;2;9;@;e;E;o;O;a;i;u;y;a~;o~;e~;H;w;j;R;l;p;t;k;b;d;g;f;s;S;v;z;Z;m;n;J
y;0.001;0.001;0.001;0.149;0.009;0.001;0.009;0.001;0.026;0.001;0.430;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.035;0.001;0.001;0.009;0.001;0.001;0.001;0.001;0.009;0.001;0.001;0.018;0.001;0.009;0.001;0.001
a~;0.001;0.001;0.022;0.007;0.001;0.007;0.015;0.030;0.001;0.007;0.001;0.526;0.044;0.030;0.001;0.015;0.001;0.052;0.001;0.001;0.007;0.007;0.007;0.007;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
o~;0.001;0.001;0.018;0.001;0.001;0.018;0.018;0.027;0.001;0.027;0.001;0.054;0.625;0.009;0.001;0.018;0.001;0.018;0.001;0.001;0.009;0.001;0.001;0.001;0.001;0.001;0.009;0.001;0.009;0.001;0.001;0.001;0.001;0.001
e~;0.001;0.001;0.001;0.008;0.008;0.001;0.008;0.127;0.008;0.008;0.001;0.034;0.008;0.525;0.001;0.001;0.001;0.034;0.008;0.001;0.001;0.008;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.008;0.001;0.001
H;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.077;0.001;0.001;0.001;0.001;0.001;0.308;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.077;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001
w;0.001;0.001;0.001;0.012;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.024;0.024;0.001;0.001;0.699;0.001;0.024;0.001;0.001;0.001;0.001;0.012;0.001;0.001;0.001;0.001;0.001;0.024;0.001;0.001;0.001;0.001;0.001
j;0.001;0.001;0.001;0.014;0.001;0.001;0.001;0.001;0.014;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.577;0.001;0.014;0.001;0.001;0.001;0.001;0.042;0.001;0.001;0.014;0.001;0.001;0.028;0.001;0.014;0.014;0.001
R;0.004;0.001;0.011;0.011;0.001;0.001;0.008;0.015;0.001;0.004;0.001;0.027;0.008;0.015;0.001;0.008;0.001;0.648;0.019;0.001;0.001;0.008;0.001;0.001;0.004;0.008;0.004;0.004;0.008;0.011;0.001;0.004;0.001;0.001
l;0.004;0.001;0.011;0.027;0.011;0.008;0.004;0.001;0.008;0.011;0.015;0.001;0.001;0.004;0.001;0.001;0.004;0.019;0.471;0.011;0.015;0.004;0.004;0.023;0.011;0.001;0.008;0.001;0.015;0.030;0.001;0.004;0.019;0.001
p;0.001;0.001;0.001;0.016;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.024;0.468;0.016;0.024;0.001;0.001;0.001;0.008;0.001;0.001;0.008;0.008;0.001;0.016;0.001;0.001
t;0.001;0.001;0.001;0.018;0.001;0.001;0.001;0.018;0.001;0.001;0.001;0.006;0.006;0.001;0.001;0.001;0.001;0.001;0.024;0.012;0.589;0.042;0.001;0.054;0.006;0.001;0.006;0.001;0.006;0.001;0.001;0.001;0.001;0.001
k;0.001;0.001;0.012;0.012;0.001;0.001;0.001;0.006;0.001;0.006;0.006;0.006;0.001;0.006;0.001;0.001;0.001;0.012;0.006;0.018;0.042;0.506;0.001;0.001;0.001;0.006;0.001;0.001;0.012;0.006;0.006;0.006;0.001;0.001
b;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.022;0.001;0.022;0.001;0.022;0.001;0.001;0.001;0.022;0.001;0.001;0.022;0.001;0.001;0.001;0.522;0.001;0.001;0.001;0.001;0.001;0.022;0.001;0.001;0.022;0.001;0.001
d;0.001;0.001;0.001;0.006;0.001;0.001;0.001;0.006;0.001;0.001;0.001;0.006;0.001;0.001;0.006;0.001;0.017;0.001;0.034;0.001;0.051;0.001;0.001;0.503;0.006;0.001;0.001;0.001;0.017;0.011;0.001;0.006;0.011;0.001
g;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.040;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.040;0.120;0.001;0.040;0.001;0.001;0.040;0.200;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.080;0.001
f;0.001;0.001;0.014;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.027;0.001;0.014;0.001;0.014;0.001;0.001;0.001;0.411;0.055;0.001;0.055;0.096;0.014;0.014;0.001;0.001
s;0.005;0.001;0.005;0.005;0.005;0.009;0.001;0.001;0.005;0.001;0.005;0.001;0.005;0.001;0.001;0.001;0.005;0.005;0.009;0.001;0.005;0.001;0.001;0.001;0.001;0.019;0.608;0.001;0.005;0.099;0.001;0.001;0.005;0.001
S;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.077;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.769;0.001;0.001;0.001;0.001;0.001;0.001
v;0.001;0.001;0.001;0.008;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.008;0.001;0.001;0.016;0.001;0.016;0.031;0.008;0.008;0.016;0.008;0.024;0.001;0.031;0.008;0.001;0.457;0.001;0.001;0.016;0.008;0.001
z;0.001;0.001;0.001;0.007;0.001;0.001;0.001;0.014;0.021;0.001;0.014;0.001;0.001;0.001;0.001;0.001;0.014;0.021;0.056;0.007;0.001;0.007;0.001;0.014;0.001;0.049;0.146;0.001;0.001;0.389;0.021;0.001;0.001;0.001
Z;0.001;0.001;0.001;0.024;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.024;0.001;0.001;0.001;0.024;0.001;0.001;0.001;0.071;0.643;0.001;0.001;0.001
m;0.001;0.001;0.001;0.001;0.001;0.009;0.009;0.001;0.001;0.009;0.009;0.001;0.001;0.009;0.001;0.001;0.009;0.009;0.009;0.017;0.001;0.009;0.009;0.009;0.001;0.009;0.001;0.001;0.017;0.001;0.001;0.560;0.001;0.001
n;0.001;0.001;0.031;0.001;0.001;0.001;0.001;0.010;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.010;0.001;0.052;0.001;0.001;0.001;0.001;0.021;0.021;0.001;0.010;0.001;0.010;0.001;0.001;0.001;0.562;0.010
J;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.001;0.500;0.001
Proba insertions...
<ins>;0.006;0.001;0.006;0.059;0.018;0.012;0.006;0.059;0.018;0.018;0.036;0.036;0.006;0.012;0.012;0.006;0.018;0.059;0.036;0.006;0.036;0.024;0.006;0.006;0.001;0.001;0.024;0.001;0.006;0.030;0.001;0.030;0.018;0.001
